Date,Author,Title,Link
1923,"MacLaurin, C.","Post Mortem: Essays, Historical and Medical",
1947,"Macphall, Ian Shaw",You and the Orchestra,
1928,"Mahan, A. T.",The Influence of Sea Power upon History,
1986,"Mahler, Alma",Gustav Mahler: Memories and letters,
1975,Maimonides (Moses Ben Maimon),Ethical Writings of Maimonides,
1970,"Malraux, André",Man's Estate,
1978,"Mandel, Gabriel",How to Recognise Islamic Art,
1961,"Mann, Thomas",Little Herr Friedemann,
1971,"Mann, Thomas",The Magic Mountain,
1951,"Mann, Thomas",The Holy Sinner,
1944,"Marks, John",The search for the 'Manchurian candidate': The CIA and Mind Control,
1983,"Márquez, Gabriel Garcia",One Hundred Years of Solitude,
1956,"Marvell, Andrew",The Poems of Andrew Marvell,
1967,"Marvell, Andrew",Selected Poetry of Andrew Marvell,
1971,"Marvell, Andrew",The Poems and Letters of Andrew Marvell,
2008,"Marx, Karl; Engels, Friedrich",The Communist Manifesto,
1923,"Masefield, John",Poems,
1994,"McBratney, Sam",Guess How Much I Love You,
2015,"McCarthy, Cormac",Blood Meridian,
1977,"McClelland, James (Cartoonist)",Another Scrap of Paper: WWII in Contemporary Cartoons,
2000,Mcleish & Unwin,A Pocket Guide to Shakespeare's Plays,
1964,"McLuhan, Marshall",Understanding Media,
1910,"Mee, Arthur (Ed.)",The Children's Encyclopedia: Volume Three,
1924,"Melville, Herman",Billy Budd and other tales,
1966,"Melville, Herman",The Confidence Man,
1967,"Melville, Herman","Billy Budd, Sailor, & Other stories (including Bartleby)",
1880,"Mendelssohn-Bartholdy, Felix",Lieder Ohne Worte for the Pianoforte,
1927,"Meredith, George",The Ordeal of Richard Feverel,
1894,"Meredith, George",Lord Ormont and his Aminta,
1897,"Merriman, Henry Seton",In Kedar's Tents,
1940,"Mill, John Stuart",Autobiography,
1984,"Milne, Frances",The Great immigration debate,
1970,"Milton, John",Paradise Lost and Other Writings (Paradise Regained; Samson Agonistes; Comus; Lycidas),
2003,"Miner, Steven Merritt","Stalin's holy war: religion, nationalism..",
1970,"Misc. (Hitler, Churchill, Deere, Marshall, McBride, Cecil Brown, Shirer, Macarthur)",Reader's Digest Illustrated Story of World War II,
1949,"Montague, C. E.",A Writer's Notes on his Trade,
1934,"Montague, J. F.",I know just the thing for that!,
1993,"Montaigne, Michel de",The Essays: A Selection,
1986,"Moore, Alan",Watchmen,
1909,"Morison, J. Cotter",Macaulay,
1888,"Morley, Henry (Ed.); Steele & Addison",The Spectator,
1999,"Morris, Benny",Righteous victims,
1979,"Morris, Edmund",The Rise of Theodore Roosevelt,
1895,"Morris, Lewis",The Works of Lewis Morris,
1924,"Moult, Thomas (Selected by)",The Best Poems of 1924,
1786,"Mozart, Wolfgang Amadeus",The Marriage of Figaro,
1787,"Mozart, Wolfgang Amadeus",Don Giovanni,
1790,"Mozart, Wolfgang Amadeus",Cosi Fan Tutte,
1967,"Mumford, Lewis",The Myth of the Machine,
1939,"Murdoch, Walter",Collected Essays,
